image_path,split,pred_text,confidence,format_ok,signature,priority,reason,plate_text
data/crnn_crops/train/-852568167444647654737824-d_jpg.rf.5ffb33e8b377ef8847f2bc8427237311.jpg,train,,0.0,0,,1,format-invalid,
data/crnn_crops/train/-867773167789460515536383-c_jpg.rf.c5ac5d75085ae21456cc1d16c7e72e5d.jpg,train,-,0.0,0,-,1,format-invalid,
data/crnn_crops/train/IMG_5536_jpg.rf.419e4b236e594d80d14071efe0fc01be.jpg,train,--,0.0,0,-,1,format-invalid,
data/crnn_crops/train/IMG_8548_JPG.rf.a9996b6024d6316450ba2df182d68295.jpg,train,-,0.0,0,-,1,format-invalid,
data/crnn_crops/train/IMG_8829_JPG.rf.34ef25279d73f19513a2f0667394f2ea.jpg,train,-,0.0,0,-,1,format-invalid,
data/crnn_crops/train/IMG_9261_jpg.rf.98e02a00a2a6b944d54eaa05d9f0f0eb.jpg,train,-,0.0,0,-,1,format-invalid,
data/crnn_crops/train/photo_2023-05-31_16-46-27_jpg.rf.79832d00164c64edb8fb3cdf8201887b.jpg,train,--,0.0,0,-,1,format-invalid,
data/crnn_crops/valid/27349737072_b775a8d960_b_jpg.rf.7ba702de123c25afc5bf81892d703bc2.jpg,valid,-,0.0,0,-,1,format-invalid,
data/crnn_crops/valid/IMG_3709_jpg.rf.e0994559cbdd599cc6706fc27df34f5c.jpg,valid,,0.0,0,,1,format-invalid,
data/crnn_crops/train/IMG_8813_JPG.rf.a139415b5a55b800662e1b941bf8551d.jpg,train,7,0.1073,0,D,1,format-invalid,
data/crnn_crops/train/IMG_4643_jpg.rf.5415efd80ec7fb9c42537a2c5f35de26.jpg,train,-1,0.1255,0,-D,1,format-invalid,1D-8300
data/crnn_crops/train/IMG_3365_jpg.rf.a9c110f2724ebfa90cf7c90d16613a85.jpg,train,-60,0.1271,0,-DD,1,format-invalid,
data/crnn_crops/train/photo_2021-10-21_12-39-28_jpg.rf.7c71ee73c6a2e5e14003d7d617ce83cd.jpg,train,-60,0.1271,0,-DD,1,format-invalid,
data/crnn_crops/train/IMG_5433_jpg.rf.a32d18944306b104d2cfb7d4d4564444.jpg,train,1-,0.1301,0,D-,1,format-invalid,1B-0906
data/crnn_crops/valid/IMG_5628_jpg.rf.6686a7f47cbddc898d42819312931b43.jpg,valid,--0,0.1433,0,-D,1,format-invalid,
data/crnn_crops/train/IMG_8623_JPG.rf.cdeae6097ace3b9efc0ddf0940a0a0d6.jpg,train,1-,0.1437,0,D-,1,format-invalid,
data/crnn_crops/valid/IMG_8617_JPG.rf.501149ba9fd174891f1d5de10220ec43.jpg,valid,-0,0.1532,0,-D,1,format-invalid,
data/crnn_crops/valid/IMG_8645_JPG.rf.6697025f6c60549340bd531b712e71fe.jpg,valid,---0,0.159,0,-D,1,format-invalid,1JU-4085
data/crnn_crops/train/IMG_3394_jpg.rf.cbdced500fe3df37090922127fd3e362.jpg,train,97,0.1593,0,DD,1,format-invalid,
data/crnn_crops/valid/IMG_8844_jpg.rf.31d421c9499cbc8a388356cb495847e5.jpg,valid,27,0.1593,0,DD,1,format-invalid,
data/crnn_crops/train/IMG_8612_JPG.rf.d8249c310c3480b37ca34f1b7a732294.jpg,train,--6,0.162,0,-D,1,format-invalid,1AC-8207
data/crnn_crops/train/Prey-Veng-number-plate_26_jpeg.rf.a91aaf154459f510d661d4348159fbfd.jpg,train,-0--,0.1624,0,-D-,1,format-invalid,
data/crnn_crops/train/IMG_8546_jpg.rf.d6f05f0606a1872d7a7e081f6bfd9e82.jpg,train,11,0.1631,0,DD,1,format-invalid,1A-6306
data/crnn_crops/train/IMG_9991_jpg.rf.762e6dbf94637e8a6a2ed181cb1dd9fd.jpg,train,--7,0.1641,0,-D,1,format-invalid,
data/crnn_crops/train/IMG_8626_JPG.rf.04a56202943ff45fd03d097eb8f027a4.jpg,train,19,0.1646,0,DD,1,format-invalid,1AK-3177
data/crnn_crops/valid/22017737_jpg.rf.25e52b3022a5e3bec6f8426cff589657.jpg,valid,-0,0.1685,0,-D,1,format-invalid,
data/crnn_crops/train/IMG_8766_JPG.rf.27000269f63f26f5ff7f22afde859f27.jpg,train,--7,0.1707,0,-D,1,format-invalid,1X-2548
data/crnn_crops/valid/IMG_8701_JPG.rf.6b9d4fffb22c20641d093071a3b82c02.jpg,valid,-B,0.1738,0,-L,1,format-invalid,1AT-8971
data/crnn_crops/valid/100007690e_jpg.rf.902119145864ba8103d99ab65f543747.jpg,valid,2--,0.1745,0,D-,1,format-invalid,3-2934
data/crnn_crops/train/IMG_8621_JPG.rf.a9e5fdd5c0ba114a8d668634f3abe56c.jpg,train,-B-7,0.1859,0,-L-D,1,format-invalid,1V-1571
data/crnn_crops/train/IMG_8556_JPG.rf.71cab9c1afadd950ef31f1c375b82117.jpg,train,78,0.1916,0,DD,1,format-invalid,
data/crnn_crops/train/Stung-Treng-number-plate_13_jpeg.rf.e614fc8b158dc3d3d20a80fa3877e330.jpg,train,60,0.2112,0,DD,1,format-invalid,3A-1927
data/crnn_crops/valid/Preah-Sihanouk-number-plate_14_jpeg.rf.8d0d8d2e69b3be1c403e4ab0de3e31dd.jpg,valid,97,0.2131,0,DD,1,format-invalid,
data/crnn_crops/valid/IMG_7274_jpg.rf.cc2f6b41eb22dfcbb9cfde8e6387c282.jpg,valid,31,0.214,0,DD,1,format-invalid,1A-6181
data/crnn_crops/train/IMG_4243_jpg.rf.bf19b02dd67a87df6e8aa3861263d312.jpg,train,F19,0.2188,0,LDD,1,format-invalid,1AA-9838
data/crnn_crops/train/IMG_1093_jpg.rf.1e4e37cf32ef35126802aa6933704da7.jpg,train,97,0.2279,0,DD,1,format-invalid,
data/crnn_crops/train/IMG_8798_jpg.rf.a2e3f7f0f6680725bfc7f025147d80a8.jpg,train,19,0.2352,0,DD,1,format-invalid,1U-2965
data/crnn_crops/valid/IMG_8541_JPG.rf.905c737031a339b43743699edc9ae03e.jpg,valid,4--7,0.2386,0,D-D,1,format-invalid,1E-3989
