visit_id,gt_plate,note
plate_20260715_083840_392_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_083850_908_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_083859_974_2A-2265.jpg,2A-2265,verified from plate photo
plate_20260715_083903_313_2A-2265.jpg,2A-2265,verified from plate photo
plate_20260715_083910_458_A-348.jpg,4A-1483,verified from plate photo
plate_20260715_083911_353_1A1181.jpg,4A-1483,verified from plate photo
plate_20260715_083913_760_4A-1483.jpg,4A-1483,verified from plate photo
plate_20260715_083914_262_4A-1483.jpg,4A-1483,verified from plate photo
plate_20260715_083924_145_2-85.jpg,2-8554,verified from plate photo
plate_20260715_083925_144_2-86.jpg,2-8554,verified from plate photo
plate_20260715_083926_706_2-8.jpg,2-8554,verified from plate photo
plate_20260715_083927_954_2-8.jpg,2-8554,verified from plate photo
plate_20260715_083928_654_2-8.jpg,2-8554,verified from plate photo
plate_20260715_083935_577_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_083936_904_3A-4248.jpg,1A-4249,verified from plate photo
plate_20260715_083937_770_3A-4249.jpg,1A-4249,verified from plate photo
plate_20260715_083938_909_2-428.jpg,1A-4249,verified from plate photo
plate_20260715_083941_525_2-42.jpg,1A-4249,verified from plate photo
plate_20260715_083941_817_2-216.jpg,1A-4249,verified from plate photo
plate_20260715_083942_156_2-4216.jpg,1A-4249,verified from plate photo
plate_20260715_083942_640_2-411.jpg,1A-4249,verified from plate photo
plate_20260715_083943_078_3-42.jpg,1A-4249,verified from plate photo
plate_20260715_083943_779_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_083944_097_2-4206.jpg,1A-4249,verified from plate photo
plate_20260715_083944_567_2-420.jpg,1A-4249,verified from plate photo
plate_20260715_093515_982_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_093518_428_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_094712_191_1A-2276.jpg,1M-7776,verified from plate photo
plate_20260715_094713_671_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_094715_289_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_094717_799_4H7776.jpg,1M-7776,verified from plate photo
plate_20260715_094719_220_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_094735_728_4-.jpg,1M-7776,verified from plate photo
plate_20260715_094737_448_1D-71-19.jpg,1M-7776,verified from plate photo
plate_20260715_094738_292_4--I1.jpg,1M-7776,verified from plate photo
plate_20260715_094738_794_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_094740_197_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_094742_868_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095350_328_1B-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095359_043_1H-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095402_875_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095403_566_1H-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095404_222_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095404_610_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_095405_658_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095406_168_4-97.jpg,1M-7776,verified from plate photo
plate_20260715_095407_438_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_095409_443_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
